tenant1,tenant2,correlation,metric,phase
tenant-cpu,tenant-dsk,-0.5296515730159373,cpu_usage,1 - Baseline
tenant-cpu,tenant-mem,-0.3118509795013709,cpu_usage,1 - Baseline
tenant-cpu,tenant-ntk,-0.30857164330450604,cpu_usage,1 - Baseline
tenant-dsk,tenant-mem,0.7553775123978173,cpu_usage,1 - Baseline
tenant-dsk,tenant-ntk,0.7602223308670247,cpu_usage,1 - Baseline
tenant-mem,tenant-ntk,0.7236860951891437,cpu_usage,1 - Baseline
tenant-cpu,tenant-dsk,0.039408507781991405,cpu_usage,2 - CPU Noise
tenant-cpu,tenant-mem,0.17815325901689522,cpu_usage,2 - CPU Noise
tenant-cpu,tenant-ntk,-0.04786906431250145,cpu_usage,2 - CPU Noise
tenant-dsk,tenant-mem,0.3963854180290275,cpu_usage,2 - CPU Noise
tenant-dsk,tenant-ntk,0.37425087081774494,cpu_usage,2 - CPU Noise
tenant-mem,tenant-ntk,0.26522303021948473,cpu_usage,2 - CPU Noise
tenant-cpu,tenant-dsk,0.08033029729905754,cpu_usage,3 - Memory Noise
tenant-cpu,tenant-mem,0.28833418873019967,cpu_usage,3 - Memory Noise
tenant-cpu,tenant-ntk,0.14969150984928964,cpu_usage,3 - Memory Noise
tenant-dsk,tenant-mem,0.2850412566715981,cpu_usage,3 - Memory Noise
tenant-dsk,tenant-ntk,0.452091869940935,cpu_usage,3 - Memory Noise
tenant-mem,tenant-ntk,0.3958573508870517,cpu_usage,3 - Memory Noise
tenant-cpu,tenant-dsk,0.09665335280117361,cpu_usage,4 - Network Noise
tenant-cpu,tenant-mem,0.271087936251749,cpu_usage,4 - Network Noise
tenant-cpu,tenant-nsy,0.23200810138963693,cpu_usage,4 - Network Noise
tenant-cpu,tenant-ntk,0.1959344524040356,cpu_usage,4 - Network Noise
tenant-dsk,tenant-mem,0.42412039440478083,cpu_usage,4 - Network Noise
tenant-dsk,tenant-nsy,0.16821195302309855,cpu_usage,4 - Network Noise
tenant-dsk,tenant-ntk,0.3989148813304032,cpu_usage,4 - Network Noise
tenant-mem,tenant-nsy,0.16760866480542141,cpu_usage,4 - Network Noise
tenant-mem,tenant-ntk,0.3615173431934866,cpu_usage,4 - Network Noise
tenant-nsy,tenant-ntk,0.16170808589223565,cpu_usage,4 - Network Noise
tenant-cpu,tenant-dsk,0.19587434930708977,cpu_usage,5 - Disk Noise
tenant-cpu,tenant-mem,0.17543178935763792,cpu_usage,5 - Disk Noise
tenant-cpu,tenant-nsy,0.20291571898556968,cpu_usage,5 - Disk Noise
tenant-cpu,tenant-ntk,0.15462627468751927,cpu_usage,5 - Disk Noise
tenant-dsk,tenant-mem,0.3908777590173379,cpu_usage,5 - Disk Noise
tenant-dsk,tenant-nsy,0.4357176976281548,cpu_usage,5 - Disk Noise
tenant-dsk,tenant-ntk,0.2766302257038909,cpu_usage,5 - Disk Noise
tenant-mem,tenant-nsy,0.34549627032728353,cpu_usage,5 - Disk Noise
tenant-mem,tenant-ntk,0.36402916131609103,cpu_usage,5 - Disk Noise
tenant-nsy,tenant-ntk,0.45449732162436796,cpu_usage,5 - Disk Noise
tenant-cpu,tenant-dsk,0.194844148478706,cpu_usage,6 - Combined Noise
tenant-cpu,tenant-mem,0.2516430412318638,cpu_usage,6 - Combined Noise
tenant-cpu,tenant-nsy,0.2668883431188679,cpu_usage,6 - Combined Noise
tenant-cpu,tenant-ntk,0.2912305119816721,cpu_usage,6 - Combined Noise
tenant-dsk,tenant-mem,0.2682013575537249,cpu_usage,6 - Combined Noise
tenant-dsk,tenant-nsy,0.47270828792656605,cpu_usage,6 - Combined Noise
tenant-dsk,tenant-ntk,0.4659322745054288,cpu_usage,6 - Combined Noise
tenant-mem,tenant-nsy,0.4386226441819722,cpu_usage,6 - Combined Noise
tenant-mem,tenant-ntk,0.4114964808453774,cpu_usage,6 - Combined Noise
tenant-nsy,tenant-ntk,0.4033235300671951,cpu_usage,6 - Combined Noise
tenant-cpu,tenant-dsk,0.1841616635142101,cpu_usage,7 - Recovery
tenant-cpu,tenant-mem,0.30418074267563516,cpu_usage,7 - Recovery
tenant-cpu,tenant-nsy,0.20493163940278908,cpu_usage,7 - Recovery
tenant-cpu,tenant-ntk,0.12145135471181585,cpu_usage,7 - Recovery
tenant-dsk,tenant-mem,0.4678243000131215,cpu_usage,7 - Recovery
tenant-dsk,tenant-nsy,0.1735336493297626,cpu_usage,7 - Recovery
tenant-dsk,tenant-ntk,0.3286592137289539,cpu_usage,7 - Recovery
tenant-mem,tenant-nsy,0.11882337111705657,cpu_usage,7 - Recovery
tenant-mem,tenant-ntk,0.4146446239963429,cpu_usage,7 - Recovery
tenant-nsy,tenant-ntk,0.08156543723585166,cpu_usage,7 - Recovery
tenant-cpu,tenant-dsk,-0.4286785989655845,memory_usage,1 - Baseline
tenant-cpu,tenant-mem,-0.11088809635659408,memory_usage,1 - Baseline
tenant-cpu,tenant-ntk,0.07233435365785715,memory_usage,1 - Baseline
tenant-dsk,tenant-mem,0.5869908220097992,memory_usage,1 - Baseline
tenant-dsk,tenant-ntk,-0.8850021905437462,memory_usage,1 - Baseline
tenant-mem,tenant-ntk,-0.50555909292737,memory_usage,1 - Baseline
tenant-cpu,tenant-dsk,-0.03335874250963246,memory_usage,2 - CPU Noise
tenant-cpu,tenant-mem,0.05085486077996658,memory_usage,2 - CPU Noise
tenant-cpu,tenant-ntk,0.04576666274439419,memory_usage,2 - CPU Noise
tenant-dsk,tenant-mem,-0.2090013419807019,memory_usage,2 - CPU Noise
tenant-dsk,tenant-ntk,0.07422198614860546,memory_usage,2 - CPU Noise
tenant-mem,tenant-ntk,-0.1354430556102366,memory_usage,2 - CPU Noise
tenant-cpu,tenant-dsk,0.11136095295443482,memory_usage,3 - Memory Noise
tenant-cpu,tenant-mem,0.08335405615932795,memory_usage,3 - Memory Noise
tenant-cpu,tenant-ntk,-0.00030989404949688333,memory_usage,3 - Memory Noise
tenant-dsk,tenant-mem,0.07232491561682435,memory_usage,3 - Memory Noise
tenant-dsk,tenant-ntk,-0.2228171033517469,memory_usage,3 - Memory Noise
tenant-mem,tenant-ntk,0.04178431057219114,memory_usage,3 - Memory Noise
tenant-cpu,tenant-dsk,-0.11327462929026438,memory_usage,4 - Network Noise
tenant-cpu,tenant-mem,-0.03921722358820419,memory_usage,4 - Network Noise
tenant-cpu,tenant-nsy,-0.01946599540855611,memory_usage,4 - Network Noise
tenant-cpu,tenant-ntk,-0.17173318288119155,memory_usage,4 - Network Noise
tenant-dsk,tenant-mem,0.0015165356565041764,memory_usage,4 - Network Noise
tenant-dsk,tenant-nsy,0.1181977160857105,memory_usage,4 - Network Noise
tenant-dsk,tenant-ntk,0.0016521769459661906,memory_usage,4 - Network Noise
tenant-mem,tenant-nsy,-0.21888950252422493,memory_usage,4 - Network Noise
tenant-mem,tenant-ntk,0.05591641928683508,memory_usage,4 - Network Noise
tenant-nsy,tenant-ntk,-8.861885862895735e-05,memory_usage,4 - Network Noise
tenant-cpu,tenant-dsk,-0.07477768678265391,memory_usage,5 - Disk Noise
tenant-cpu,tenant-mem,-0.0716490454480854,memory_usage,5 - Disk Noise
tenant-cpu,tenant-nsy,-0.11230688485566624,memory_usage,5 - Disk Noise
tenant-cpu,tenant-ntk,0.03315880190751346,memory_usage,5 - Disk Noise
tenant-dsk,tenant-mem,-0.04239574996887979,memory_usage,5 - Disk Noise
tenant-dsk,tenant-nsy,0.10485560417109421,memory_usage,5 - Disk Noise
tenant-dsk,tenant-ntk,-0.10899588912792814,memory_usage,5 - Disk Noise
tenant-mem,tenant-nsy,0.1197783522679815,memory_usage,5 - Disk Noise
tenant-mem,tenant-ntk,-0.062254176670103946,memory_usage,5 - Disk Noise
tenant-nsy,tenant-ntk,0.06327155125825057,memory_usage,5 - Disk Noise
tenant-cpu,tenant-dsk,-0.028624188349484114,memory_usage,6 - Combined Noise
tenant-cpu,tenant-mem,-0.05604391119164293,memory_usage,6 - Combined Noise
tenant-cpu,tenant-nsy,-0.16843769599942668,memory_usage,6 - Combined Noise
tenant-cpu,tenant-ntk,-0.07000611286184685,memory_usage,6 - Combined Noise
tenant-dsk,tenant-mem,0.16541293805001067,memory_usage,6 - Combined Noise
tenant-dsk,tenant-nsy,-0.10208517858379187,memory_usage,6 - Combined Noise
tenant-dsk,tenant-ntk,0.04512838891269114,memory_usage,6 - Combined Noise
tenant-mem,tenant-nsy,0.00926544427892332,memory_usage,6 - Combined Noise
tenant-mem,tenant-ntk,0.08738346600852331,memory_usage,6 - Combined Noise
tenant-nsy,tenant-ntk,-0.1298446167990382,memory_usage,6 - Combined Noise
tenant-cpu,tenant-dsk,-0.06284359667240935,memory_usage,7 - Recovery
tenant-cpu,tenant-mem,-0.1503374879818542,memory_usage,7 - Recovery
tenant-cpu,tenant-nsy,-0.03612557234628978,memory_usage,7 - Recovery
tenant-cpu,tenant-ntk,-0.09253181820145517,memory_usage,7 - Recovery
tenant-dsk,tenant-mem,0.06271374044423621,memory_usage,7 - Recovery
