tenant1,tenant2,covariance,metric,phase,round_id
tenant-cpu,tenant-dsk,0.007247309321852836,cpu_usage,1-Baseline,round-3
tenant-cpu,tenant-mem,0.022508621599981776,cpu_usage,1-Baseline,round-3
tenant-cpu,tenant-ntk,0.015390915147660137,cpu_usage,1-Baseline,round-3
tenant-dsk,tenant-mem,0.0048234279031948366,cpu_usage,1-Baseline,round-3
tenant-dsk,tenant-ntk,-0.00860757563974538,cpu_usage,1-Baseline,round-3
tenant-mem,tenant-ntk,0.023181279541154263,cpu_usage,1-Baseline,round-3
tenant-cpu,tenant-dsk,0.005893950467046754,cpu_usage,2-CPU-Noise,round-3
tenant-cpu,tenant-mem,0.037808660080339805,cpu_usage,2-CPU-Noise,round-3
tenant-cpu,tenant-nsy,-0.08302907792156822,cpu_usage,2-CPU-Noise,round-3
tenant-cpu,tenant-ntk,0.019347865784245015,cpu_usage,2-CPU-Noise,round-3
tenant-dsk,tenant-mem,0.006556305925470483,cpu_usage,2-CPU-Noise,round-3
tenant-dsk,tenant-nsy,-0.002879586552475308,cpu_usage,2-CPU-Noise,round-3
tenant-dsk,tenant-ntk,0.007364733271517686,cpu_usage,2-CPU-Noise,round-3
tenant-mem,tenant-nsy,-0.07204615874974431,cpu_usage,2-CPU-Noise,round-3
tenant-mem,tenant-ntk,0.02005533063185509,cpu_usage,2-CPU-Noise,round-3
tenant-nsy,tenant-ntk,0.010873305934410651,cpu_usage,2-CPU-Noise,round-3
tenant-cpu,tenant-dsk,0.004037787458515904,cpu_usage,3-Memory-Noise,round-3
tenant-cpu,tenant-mem,0.022086676096279734,cpu_usage,3-Memory-Noise,round-3
tenant-cpu,tenant-nsy,-0.0183653348192446,cpu_usage,3-Memory-Noise,round-3
tenant-cpu,tenant-ntk,0.020827789135628747,cpu_usage,3-Memory-Noise,round-3
tenant-dsk,tenant-mem,0.006010528607161744,cpu_usage,3-Memory-Noise,round-3
tenant-dsk,tenant-nsy,-0.002314952448150364,cpu_usage,3-Memory-Noise,round-3
tenant-dsk,tenant-ntk,0.004869726132193907,cpu_usage,3-Memory-Noise,round-3
