tenant_id,metric_name,experimental_phase,round_id,count,mean,std,min,max,skewness,kurtosis
tenant-cpu,cpu_usage,1-Baseline,round-7,334,3.7396765941484884,0.2742669716124161,2.8854731599620496,4.660683620481487,-0.40909730683673245,0.6786577078174352
tenant-cpu,cpu_usage,2-CPU-Noise,round-7,350,2.476394653665192,0.2253798458104709,1.86476348384976,3.824378759436122,1.3880831623165777,6.868755388719789
tenant-cpu,cpu_usage,3-Memory-Noise,round-7,350,2.8160322113208704,0.2133527932497031,2.182229419472546,3.4438446225758748,-0.6285415751312764,0.5366419719108189
tenant-cpu,cpu_usage,4-Network-Noise,round-7,345,2.360814407533914,0.2663277843287698,1.4056886979514207,3.452016421346579,0.8361848450049338,3.180633614772945
tenant-cpu,cpu_usage,5-Disk-Noise,round-7,351,3.3422565910450164,0.2655978947276964,2.266616168006791,3.777323125528015,-0.8814890365544761,0.6986754807316182
tenant-cpu,cpu_usage,6-Combined-Noise,round-7,345,1.5919199341821757,0.1616812937910597,1.1240016879238548,2.2048661225579407,0.8990743191892003,2.3999202925569136
tenant-cpu,cpu_usage,7-Recovery,round-7,185,3.675674805200286,0.5404392389104967,1.4899192127682104,4.221112481541583,-2.1325113268075655,5.385997845211538
tenant-cpu,disk_io_total,1-Baseline,round-7,334,292611.8625340065,49668.44672026366,167406.3624688472,446823.7066048451,0.3877656171835287,-0.08643612918637755
tenant-cpu,disk_io_total,2-CPU-Noise,round-7,350,287699.9161771067,42428.42561940937,160406.9759159366,400142.15477994975,-0.12790627941756774,0.0888153390871409
tenant-cpu,disk_io_total,3-Memory-Noise,round-7,350,317406.82825022866,36114.27521166318,233965.8531351841,414956.8426402425,0.29687699117575134,0.1734406539898501
tenant-cpu,disk_io_total,4-Network-Noise,round-7,345,269918.02451518836,50932.51266979679,145058.9103897312,411789.92465145024,-0.29725873963890903,-0.3008998582160216
tenant-cpu,disk_io_total,5-Disk-Noise,round-7,351,293448.5780949496,51507.62971506611,169168.11915760464,422444.292866459,-0.09077226449596525,-0.5720816347897277
tenant-cpu,disk_io_total,6-Combined-Noise,round-7,345,265090.16003969585,39625.46080249684,136986.2003618111,349669.5195398681,-0.36985346674761854,-0.07830957119064408
tenant-cpu,disk_io_total,7-Recovery,round-7,185,285957.2447806804,43449.05741952974,170996.54433551698,365853.9220143084,-0.39697361965347955,-0.42065779438636586
tenant-cpu,memory_usage,1-Baseline,round-7,334,250077932.0718563,49603969.434851594,159637504.0,340074496.0,0.21096028306480816,-0.9533974478473408
tenant-cpu,memory_usage,2-CPU-Noise,round-7,350,261190322.46857142,45121419.34713235,79855616.0,347226112.0,-0.46338463892787174,1.043454378513132
tenant-cpu,memory_usage,3-Memory-Noise,round-7,350,261736986.33142856,46439914.95567597,149553152.0,350928896.0,0.11097255190812472,-0.5424287152560674
tenant-cpu,memory_usage,4-Network-Noise,round-7,345,254596912.23188406,45381428.6590544,143712256.0,340680704.0,-0.03947136396634189,-0.8464921238379999
tenant-cpu,memory_usage,5-Disk-Noise,round-7,351,275476690.05128205,57150486.89960926,163762176.0,348758016.0,-0.3605723729170517,-0.998975009279341
tenant-cpu,memory_usage,6-Combined-Noise,round-7,345,279823131.45507246,47209306.301788196,175054848.0,365338624.0,-0.16337217961306752,-0.5571942031142658
tenant-cpu,memory_usage,7-Recovery,round-7,185,266316429.14594594,53814542.94209211,159203328.0,359538688.0,-0.08846954112321025,-0.6629519497766685
tenant-cpu,network_receive,1-Baseline,round-7,334,9389.840477462425,1656.407110037304,3333.1003465003478,15336.789935186636,0.07098297504144652,1.6646334572002925
tenant-cpu,network_receive,2-CPU-Noise,round-7,350,8876.69104473097,1444.1569965941123,4723.783305053094,11885.015093663143,-0.6345482317594151,0.16817671992308103
tenant-cpu,network_receive,3-Memory-Noise,round-7,350,9481.170684139235,1458.5270966771452,5397.325115458489,12288.095545479528,-0.6676165662550665,-0.128272218817568
tenant-cpu,network_receive,4-Network-Noise,round-7,345,8050.77607308779,1637.067189628993,2910.422427122759,11258.580398828906,-0.5078962354316093,-0.025890202990821898
tenant-cpu,network_receive,5-Disk-Noise,round-7,351,9000.927520549118,1588.528845593978,2865.878989146282,11755.525796095017,-0.8418654245763885,0.60598010190084
tenant-cpu,network_receive,6-Combined-Noise,round-7,345,8002.2719493118475,1297.3031698670836,2861.2472857489192,10574.836570909123,-0.908606744468593,0.968858886659151
tenant-cpu,network_receive,7-Recovery,round-7,185,9214.526150802389,1424.30809432102,5428.441321283889,12077.19210686115,-0.539748662409464,-0.147863999332162
tenant-cpu,network_transmit,1-Baseline,round-7,334,1623.5905626785081,277.5045683027779,576.0282499694265,2544.5822880898663,-0.0385675108809323,1.1712330631833034
tenant-cpu,network_transmit,2-CPU-Noise,round-7,350,1539.838761108098,232.23800954920205,820.2749019390816,2051.8488345994942,-0.5935384158922308,0.14925304631991976
tenant-cpu,network_transmit,3-Memory-Noise,round-7,350,1642.6036144003222,244.9003506690796,942.0226701145928,2236.945117078789,-0.5998642011490374,-0.07532273493468455
tenant-cpu,network_transmit,4-Network-Noise,round-7,345,1399.818079952882,271.70203996135047,551.3952032226538,1941.8570476923005,-0.42919457926826055,-0.3304795931387323
tenant-cpu,network_transmit,5-Disk-Noise,round-7,351,1556.6394637353965,262.5002578564558,544.3092418597116,2047.1376419848425,-0.7556281349725436,0.4260029067908846
tenant-cpu,network_transmit,6-Combined-Noise,round-7,345,1393.2593311563226,221.57727445632128,539.2708675097983,1807.0391944595644,-0.7631460913711076,0.7540144975265046
tenant-cpu,network_transmit,7-Recovery,round-7,185,1590.677036786824,220.16797428524902,1060.9123758035942,2059.6014918475366,-0.3907121648047784,-0.2712728133487272
tenant-dsk,cpu_usage,1-Baseline,round-7,334,0.9514575490384356,0.1375256415597647,0.534339164660437,1.5063228850066868,0.1691590076529892,2.0852629979089037
tenant-dsk,cpu_usage,2-CPU-Noise,round-7,350,0.8945252512709438,0.11194119965917512,0.4662808779129008,1.1026284535830342,-0.8486782169048832,0.8089188098599571
tenant-dsk,cpu_usage,3-Memory-Noise,round-7,350,0.9529447943747943,0.09888343325262915,0.6503227441478132,1.162237392181109,-0.33120565423055454,-0.15086325861773187
tenant-dsk,cpu_usage,4-Network-Noise,round-7,345,0.8163927796469356,0.14521244716826623,0.3623338355758868,1.083257688638248,-0.6438457600002295,0.15341330930360142
tenant-dsk,cpu_usage,5-Disk-Noise,round-7,351,0.9155355266385199,0.11940129022375914,0.4284058559168134,1.1669185749980056,-1.0316914370101136,1.6069450549306135
tenant-dsk,cpu_usage,6-Combined-Noise,round-7,345,0.827570222448786,0.09451267890811037,0.4348985691648537,1.0144551743497283,-0.6549628576180152,0.30274703094164135
tenant-dsk,cpu_usage,7-Recovery,round-7,185,0.9296356605577055,0.10605996545136594,0.4825001678282304,1.1204767338593855,-0.8728600041369367,1.0344870644000856
tenant-dsk,disk_io_total,1-Baseline,round-7,334,19010542.322998125,45900596.13101886,7436283.115913367,414237643.7830703,6.640801798434726,44.194402968297176
tenant-dsk,disk_io_total,2-CPU-Noise,round-7,350,12137757.46885041,2818473.6156430524,2315257.834085637,22568600.93047832,0.43824265406777413,2.565523833553202
tenant-dsk,disk_io_total,3-Memory-Noise,round-7,350,12381611.883067,1856110.9345566728,7823997.792854057,17967884.475092903,0.3641705725575849,0.051193236394358355
tenant-dsk,disk_io_total,4-Network-Noise,round-7,345,12475885.222186003,4076769.978137027,2167382.5114690578,20267083.617743667,-0.1605330643170968,-0.46894660552961254
tenant-dsk,disk_io_total,5-Disk-Noise,round-7,351,6550543.812419172,2542509.7304626093,1250582.1134897314,24069169.67662412,4.115698245756937,23.4307116627393
tenant-dsk,disk_io_total,6-Combined-Noise,round-7,345,6338083.528464591,1147697.7292757377,2429297.8481504987,10871937.907494452,0.4371243980240216,3.103437826674715
tenant-dsk,disk_io_total,7-Recovery,round-7,185,12035456.862889124,2220719.297831585,3822934.920308536,16715528.33263678,-0.9581821917580748,1.2746914889097258
tenant-dsk,memory_usage,1-Baseline,round-7,334,496451252.88622755,53824479.94311176,235520000.0,602021888.0,-1.2488449846234828,4.403994869437025
tenant-dsk,memory_usage,2-CPU-Noise,round-7,350,502736439.5885714,48380314.81904512,395907072.0,595611648.0,-0.05703426370937458,-0.6180053359355009
tenant-dsk,memory_usage,3-Memory-Noise,round-7,350,503575897.2342857,50294540.645857885,376815616.0,596860928.0,-0.2336199900501645,-0.2990412056813798
tenant-dsk,memory_usage,4-Network-Noise,round-7,345,518634463.35072464,49697338.32945131,404406272.0,606646272.0,0.002518322370220822,-0.7667219679763191
tenant-dsk,memory_usage,5-Disk-Noise,round-7,351,536287366.1994302,46087899.986877695,439672832.0,610914304.0,0.18219193197453284,-0.9957637112729048
tenant-dsk,memory_usage,6-Combined-Noise,round-7,345,528789658.342029,49975652.49196791,378773504.0,621076480.0,-0.32430883737827193,-0.11972298335979659
tenant-dsk,memory_usage,7-Recovery,round-7,185,523350901.6216216,57495702.68398177,368644096.0,628002816.0,-0.35288651658267833,-0.16199855353625514
tenant-dsk,network_receive,1-Baseline,round-7,334,8569.624868368783,1435.5640806439644,4391.395955750758,11332.747998277651,-0.36526747997328,-0.3155121009928341
tenant-dsk,network_receive,2-CPU-Noise,round-7,350,8283.676157907987,1318.422601278885,3731.617597956934,10934.455720530825,-0.3645952846870049,0.4242492841270602
tenant-dsk,network_receive,3-Memory-Noise,round-7,350,8744.240504364097,1258.6348462696346,4370.165204788069,12150.307449723725,-0.4036115231520328,-0.18376146830464268
tenant-dsk,network_receive,4-Network-Noise,round-7,345,7560.4239106886835,1473.5651826527692,2524.14908223241,10907.051596902003,-0.21444413934361126,0.17972093141005585
tenant-dsk,network_receive,5-Disk-Noise,round-7,351,8557.617542783713,1233.4849468858565,4616.551949793315,11407.96049284872,-0.3030197559830235,-0.30297735348081734
tenant-dsk,network_receive,6-Combined-Noise,round-7,345,7660.784239249943,997.4502086134183,4521.043287987311,9714.661270601044,-0.4912788241290543,-0.1426040193226341
tenant-dsk,network_receive,7-Recovery,round-7,185,8600.511875825714,1237.7993787389426,5275.374752257839,11192.416674646924,-0.3788331456591068,-0.3357771076138869
tenant-dsk,network_transmit,1-Baseline,round-7,334,3290.7165904579533,7886.616595919069,1409.4229703347116,59514.97128491637,6.297928133561967,38.18628008865489
tenant-dsk,network_transmit,2-CPU-Noise,round-7,350,2003.013673977868,231.26025392291052,1123.4646210037536,2483.2493651699965,-0.6720398268078333,1.1051194244947928
tenant-dsk,network_transmit,3-Memory-Noise,round-7,350,2102.159397630828,229.40657885894197,1406.876528008608,2697.375346021477,-0.5178801417832537,-0.19615928530023252
tenant-dsk,network_transmit,4-Network-Noise,round-7,345,1879.547921939895,267.9802788268587,1155.4813736050353,2451.930044982263,-0.3149641597511118,-0.2672957857219922
tenant-dsk,network_transmit,5-Disk-Noise,round-7,351,2063.096712424951,221.52487124607882,1488.7326391632917,2556.4677700563234,-0.3986635012566807,-0.385981787685322
tenant-dsk,network_transmit,6-Combined-Noise,round-7,345,1901.142830688531,179.59005092433878,1174.3917392018395,2257.093676886185,-0.5563116945444122,0.18909593282120607
tenant-dsk,network_transmit,7-Recovery,round-7,185,2066.503264997219,236.13433100135651,1436.2016199476486,2585.9916774798926,-0.269426331013969,-0.5950773901530564
tenant-mem,cpu_usage,1-Baseline,round-7,334,3.7459911642634545,0.2910683127184033,2.893044483056858,4.775177650024937,-0.39224449122663274,0.5253912258466436
tenant-mem,cpu_usage,2-CPU-Noise,round-7,350,2.5152810656415903,0.23137717523252574,1.9647540992010968,3.7498801546503455,1.709907926728793,7.774962695564586
tenant-mem,cpu_usage,3-Memory-Noise,round-7,350,2.809899547403822,0.21623300107288576,2.018832809824936,3.592445356103457,-0.0762556637766978,1.5584843259406935
tenant-mem,cpu_usage,4-Network-Noise,round-7,345,2.3763117890377035,0.28510462096321976,1.701082567404716,3.642612037778756,1.688121248749604,5.62381112416855
tenant-mem,cpu_usage,5-Disk-Noise,round-7,351,3.3191562077327794,0.25920401775286384,2.348206903256836,3.6844152946406847,-0.9398471605526112,0.48000770506847745
tenant-mem,cpu_usage,6-Combined-Noise,round-7,345,1.6569733482688926,0.17591027235140702,1.2553452028037422,2.318641964320358,1.0503124403666024,2.7615461831493144
tenant-mem,cpu_usage,7-Recovery,round-7,185,3.707636745568736,0.5500359389101502,1.4754764879597655,4.2188585612669405,-2.3571122062556675,6.050460023061763
tenant-mem,disk_io_total,1-Baseline,round-7,334,296977.6056799597,44158.051657312295,174073.14413860108,469080.8920489622,0.28940662417291124,0.5038009610485208
tenant-mem,disk_io_total,2-CPU-Noise,round-7,350,293110.92335763446,38872.80013414822,146636.8,376269.7096216652,-0.5348670871829375,0.2062403175887524
tenant-mem,disk_io_total,3-Memory-Noise,round-7,350,320429.80577156745,40053.15883328133,149333.33333333334,401273.1323980317,-0.6373969240545123,0.48261757773521774
tenant-mem,disk_io_total,4-Network-Noise,round-7,345,259914.49943491432,40733.84264767916,106966.47808260308,355329.04498434084,-0.3920785873166142,0.3895330806598145
tenant-mem,disk_io_total,5-Disk-Noise,round-7,351,293456.1033429144,49329.71969200853,138734.1196597551,396826.0420399729,-0.6069563903594033,0.6460042300513047
tenant-mem,disk_io_total,6-Combined-Noise,round-7,345,267183.2075623469,40571.04715204909,147750.7318497267,381913.1311836414,-0.19833313338350742,0.1293816593043844
tenant-mem,disk_io_total,7-Recovery,round-7,185,285748.56894395297,42680.3756590348,188346.1961321496,390566.56031199504,0.020544152119847555,-0.35595924892920294
tenant-mem,memory_usage,1-Baseline,round-7,334,246605247.61676645,53943638.095287375,123273216.0,352354304.0,-0.16290957377935827,-0.3716443794148083
tenant-mem,memory_usage,2-CPU-Noise,round-7,350,253954165.02857143,50650754.68701003,132804608.0,354095104.0,-0.05620301462254093,-0.7413642391042377
tenant-mem,memory_usage,3-Memory-Noise,round-7,350,262438560.91428572,50248214.71643439,147038208.0,360570880.0,-0.16292194586823905,-0.5690394715066112
tenant-mem,memory_usage,4-Network-Noise,round-7,345,263931138.22608694,46892582.49140406,143273984.0,363171840.0,0.04243212797457913,-0.3615168874332877
tenant-mem,memory_usage,5-Disk-Noise,round-7,351,303619069.0826211,47505817.69910582,194965504.0,372170752.0,-0.3776272442534832,-0.9285222501746118
tenant-mem,memory_usage,6-Combined-Noise,round-7,345,289850602.48115945,49951534.15007545,166395904.0,377577472.0,-0.1521718241330138,-0.7667339006121394
tenant-mem,memory_usage,7-Recovery,round-7,185,274775089.81621623,57309860.227128945,113856512.0,378462208.0,-0.5814022278094086,0.09416195277126871
tenant-mem,network_receive,1-Baseline,round-7,334,9585.786107764457,1757.2570255120593,5131.941485245418,15522.741850178574,0.047903157800850776,1.241665047730557
tenant-mem,network_receive,2-CPU-Noise,round-7,350,8960.57913953505,1448.963166086125,5356.369417232963,11737.56188829502,-0.4819497472403402,-0.22187520764990243
tenant-mem,network_receive,3-Memory-Noise,round-7,350,9695.483919207385,1418.781315178571,5502.598728204093,12165.866970545329,-0.661316543367483,-0.09612062583948688
tenant-mem,network_receive,4-Network-Noise,round-7,345,8069.0179732473525,1787.3173668558386,1999.3965929215065,11420.296891954356,-0.48707370375409864,-0.3186542280823832
tenant-mem,network_receive,5-Disk-Noise,round-7,351,9085.54010865884,1409.776054969936,4811.620552085423,11570.40178450234,-0.568845702615085,-0.3975447656497182
tenant-mem,network_receive,6-Combined-Noise,round-7,345,8054.464136817989,1267.469757864668,4716.462324688441,11237.580030578923,-0.2226031080701668,-0.2794708317507588
tenant-mem,network_receive,7-Recovery,round-7,185,9303.693073941035,1499.7447291781639,5279.713480693565,12230.208964981248,-0.5304514089737985,-0.08196030110368202
