tenant_id,metric_name,experimental_phase,mean,volatility,count,baseline_mean,baseline_std,baseline_count,percentage_change,cohen_d,p_value,is_significant,round_id
tenant-cpu,cpu_usage,2-CPU-Noise,2.485733166395038,0.2382741028509169,350,3.717755269428323,0.2896805645180195,337,-33.13887046746712,-4.653709707679608,2.382719163090309e-270,True,round-8
tenant-cpu,cpu_usage,3-Memory-Noise,2.829958669875081,0.2324227853425112,353,3.717755269428323,0.2896805645180195,337,-23.87990965553141,-3.3891296535597646,1.5397503437245528e-197,True,round-8
tenant-cpu,cpu_usage,4-Network-Noise,2.297277218844924,0.246266539920774,350,3.717755269428323,0.2896805645180195,337,-38.20794935761938,-5.291596262615622,3.2906975473614418e-304,True,round-8
tenant-cpu,cpu_usage,5-Disk-Noise,3.3421038791059923,0.2449131437134717,354,3.717755269428323,0.2896805645180195,337,-10.104252784237048,-1.403352021397632,3.943505885161319e-61,True,round-8
tenant-cpu,cpu_usage,6-Combined-Noise,1.6775590872117443,0.1669329552977123,151,3.717755269428323,0.2896805645180195,337,-54.87709745161086,-7.904650366010319,8.811742830822965e-309,True,round-8
tenant-cpu,cpu_usage,7-Recovery,3.7572366208630217,0.3315221774006234,214,3.717755269428323,0.2896805645180195,337,1.0619674662116632,0.1287745135954382,0.1535654461416311,False,round-8
tenant-cpu,disk_io_total,2-CPU-Noise,303524.2214287232,39153.80266501082,350,307744.00475576223,41570.60234328655,337,-1.371199198628752,-0.1045604449776567,0.171607696606714,False,round-8
tenant-cpu,disk_io_total,3-Memory-Noise,303927.7984789096,43591.025170441695,353,307744.00475576223,41570.60234328655,337,-1.2400586909503986,-0.0895480943545067,0.2395637200966791,False,round-8
tenant-cpu,disk_io_total,4-Network-Noise,306912.56040142913,36359.02248941486,350,307744.00475576223,41570.60234328655,337,-0.2701740217467329,-0.021317734259406,0.7806212900884961,False,round-8
tenant-cpu,disk_io_total,5-Disk-Noise,630556.440312278,306835.7077192159,354,307744.00475576223,41570.60234328655,337,104.89641733645225,1.4571542603012164,4.722145295573187e-59,True,round-8
tenant-cpu,disk_io_total,6-Combined-Noise,815701.363873004,165482.68791744462,152,307744.00475576223,41570.60234328655,337,165.05840934915264,5.162002748121132,9.352976018978296e-81,True,round-8
tenant-cpu,disk_io_total,7-Recovery,284283.63292418985,66821.48658256177,214,307744.00475576223,41570.60234328655,337,-7.623340006311888,-0.4441524268399217,6.063170303199661e-06,True,round-8
tenant-cpu,memory_usage,2-CPU-Noise,234746862.4457143,57254827.24640553,350,251423491.7982196,57457492.62755263,337,-6.6328843153165495,-0.2907649766421241,0.0001517000416022,True,round-8
tenant-cpu,memory_usage,3-Memory-Noise,250197070.32294616,53521676.69672881,353,251423491.7982196,57457492.62755263,337,-0.4877911234554396,-0.0221061627734838,0.7720688343296818,False,round-8
tenant-cpu,memory_usage,4-Network-Noise,256518775.9542857,49415017.85188572,350,251423491.7982196,57457492.62755263,337,2.0265744141980773,0.0952190362104023,0.213895414496591,False,round-8
tenant-cpu,memory_usage,5-Disk-Noise,274747010.1694915,47673615.29731613,354,251423491.7982196,57457492.62755263,337,9.276586767791082,0.4428036197708306,1.0822517933894036e-08,True,round-8
tenant-cpu,memory_usage,6-Combined-Noise,280798234.94736844,51865376.66611828,152,251423491.7982196,57457492.62755263,337,11.683372519829454,0.5265839855896965,4.562882676520861e-08,True,round-8
tenant-cpu,memory_usage,7-Recovery,277668337.6448598,54881398.09344345,214,251423491.7982196,57457492.62755263,337,10.438501851570438,0.4647410416693653,1.2309386927106426e-07,True,round-8
tenant-cpu,network_receive,2-CPU-Noise,9320.510012835588,1292.2678707109535,350,9530.95984800083,1309.4870026494302,337,-2.208065488906502,-0.1617920770980837,0.0344142517954999,True,round-8
tenant-cpu,network_receive,3-Memory-Noise,9448.120398103012,1270.0036318903144,353,9530.95984800083,1309.4870026494302,337,-0.8691616712160819,-0.0642446533828695,0.3995464741810781,False,round-8
tenant-cpu,network_receive,4-Network-Noise,9203.103160958708,1190.4004090985309,350,9530.95984800083,1309.4870026494302,337,-3.4399125824760617,-0.2622367037956645,0.0006406587974868,True,round-8
tenant-cpu,network_receive,5-Disk-Noise,8728.710899546088,1193.5215074198663,354,9530.95984800083,1309.4870026494302,337,-8.417294388487202,-0.6410725408033432,2.5456265540348155e-16,True,round-8
tenant-cpu,network_receive,6-Combined-Noise,7118.595649468264,1042.4920568701093,152,9530.95984800083,1309.4870026494302,337,-25.310821124050506,-1.956654909896084,8.038098168869955e-68,True,round-8
tenant-cpu,network_receive,7-Recovery,8973.747737373296,1452.6694558568502,214,9530.95984800083,1309.4870026494302,337,-5.8463378244575415,-0.4076702565543892,6.807307909554528e-06,True,round-8
tenant-cpu,network_transmit,2-CPU-Noise,1607.1860907798937,229.6418659731571,350,1644.443575056883,212.9246638988365,337,-2.2656590254670514,-0.1681297942451889,0.0277047428096681,True,round-8
tenant-cpu,network_transmit,3-Memory-Noise,1634.1776810359777,212.6394390505276,353,1644.443575056883,212.9246638988365,337,-0.624277669153253,-0.0482467936508676,0.5266314448509103,False,round-8
tenant-cpu,network_transmit,4-Network-Noise,1586.0801373070822,177.64395196058902,350,1644.443575056883,212.9246638988365,337,-3.5491298476314075,-0.2981594522534624,0.0001089297389923,True,round-8
tenant-cpu,network_transmit,5-Disk-Noise,1516.6793859336208,211.3360680729963,354,1644.443575056883,212.9246638988365,337,-7.769448040735768,-0.6023423285332155,1.0080909887205078e-14,True,round-8
tenant-cpu,network_transmit,6-Combined-Noise,1256.8711190998818,179.32098649538756,151,1644.443575056883,212.9246638988365,337,-23.56860775497236,-1.907841662972501,1.7693496960742608e-62,True,round-8
tenant-cpu,network_transmit,7-Recovery,1571.745828639899,243.0690836218589,213,1644.443575056883,212.9246638988365,337,-4.420811240937188,-0.3230067455054802,0.0003823037385651,True,round-8
tenant-dsk,cpu_usage,2-CPU-Noise,0.9130914584282382,0.0994256123677892,350,0.9485077775232964,0.1190607492910091,337,-3.733898649469788,-0.3234434603250855,2.742932422777981e-05,True,round-8
tenant-dsk,cpu_usage,3-Memory-Noise,0.936983364807676,0.0858687877629767,353,0.9485077775232964,0.1190607492910091,337,-1.2150045564953318,-0.1114348556662497,0.1468783095307335,False,round-8
tenant-dsk,cpu_usage,4-Network-Noise,0.9252841151421576,0.0948513220910097,350,0.9485077775232964,0.1190607492910091,337,-2.448441956035361,-0.2162144419975068,0.0049342127892504,True,round-8
tenant-dsk,cpu_usage,5-Disk-Noise,0.8781575567911735,0.0873910227448953,354,0.9485077775232964,0.1190607492910091,337,-7.416936623948259,-0.6761423833627834,1.1872494271559395e-17,True,round-8
tenant-dsk,cpu_usage,6-Combined-Noise,0.7565341541190109,0.0861871263879112,151,0.9485077775232964,0.1190607492910091,337,-20.23954130408493,-1.7457212243486522,3.960017450448534e-62,True,round-8
tenant-dsk,cpu_usage,7-Recovery,0.908382122652855,0.1113650688294041,214,0.9485077775232964,0.1190607492910091,337,-4.230398086478101,-0.3455070703655958,6.985472990282153e-05,True,round-8
tenant-dsk,disk_io_total,2-CPU-Noise,12164031.597356984,1986234.9282998268,350,20506691.010310072,49275645.96875214,337,-40.68262114428253,-0.241535891545992,0.0020599142805473,True,round-8
